dep,com,mort_com,hosp_com,indemne_com,leger_com,acc_com
75,75101,1,3,108,143,256
75,75102,2,3,65,92,162
75,75103,0,7,91,101,200
75,75104,0,5,138,173,316
75,75105,0,9,123,136,269
75,75106,1,7,121,122,251
75,75107,2,13,173,225,413
75,75108,1,22,288,287,598
75,75109,0,8,123,142,273
75,75110,3,11,207,205,427
75,75111,0,14,221,230,465
75,75112,5,22,502,459,988
75,75113,3,22,324,376,726
75,75114,2,10,317,315,644
75,75115,2,21,362,408,794
75,75116,3,43,606,594,1247
75,75117,5,15,444,416,881
75,75118,2,23,337,299,661
75,75119,5,28,419,431,884
75,75120,1,28,319,295,645
77,77001,0,0,2,3,5
77,77002,0,1,0,0,1
77,77004,0,1,0,0,1
77,77006,0,1,1,0,2
77,77008,0,1,2,1,4
77,77014,0,0,6,6,12
77,77016,0,0,3,2,5
77,77018,0,0,7,6,13
77,77019,0,1,1,0,2
77,77022,0,1,0,0,1
77,77030,0,1,0,0,1
77,77032,0,1,0,1,2
77,77034,0,1,1,0,2
77,77037,0,1,1,1,3
77,77041,0,2,0,0,2
77,77042,0,0,0,2,2
77,77047,0,1,1,2,4
77,77048,0,0,1,3,4
77,77053,0,1,12,11,24
77,77055,0,0,1,1,2
77,77058,0,0,32,29,61
77,77059,0,0,2,3,5
77,77060,0,1,0,2,3
77,77061,0,1,0,1,2
77,77063,1,0,0,0,1
77,77065,0,0,1,2,3
77,77066,0,2,0,1,3
77,77067,0,6,3,3,12
77,77070,0,0,1,1,2
77,77071,0,0,4,1,5
77,77079,0,2,0,0,2
77,77080,0,0,1,1,2
77,77083,1,4,15,15,35
77,77084,0,1,1,0,2
77,77085,0,0,5,9,14
77,77088,1,0,1,0,2
77,77091,0,0,1,1,2
77,77094,0,3,2,1,6
77,77095,0,2,1,1,4
77,77099,1,0,1,1,3
77,77100,0,2,0,0,2
77,77107,0,0,3,3,6
77,77108,1,0,2,4,7
77,77109,0,2,3,0,5
77,77111,0,1,5,2,8
77,77113,1,0,1,1,3
77,77114,1,0,2,1,4
77,77115,0,2,0,1,3
77,77116,0,3,1,0,4
77,77121,1,1,38,40,80
77,77122,1,5,10,8,24
77,77123,1,0,1,0,2
77,77126,1,3,1,3,8
77,77128,0,1,8,3,12
77,77131,1,0,7,10,18
77,77132,0,0,1,1,2
77,77133,0,0,0,1,1
77,77141,1,2,2,1,6
77,77142,1,3,4,3,11
77,77144,0,0,0,1,1
77,77145,0,0,1,4,5
77,77146,1,0,28,13,42
77,77147,0,1,0,0,1
77,77148,0,0,0,1,1
77,77152,0,2,1,0,4
77,77153,0,5,1,4,10
77,77154,0,0,0,1,1
77,77155,0,0,0,2,2
77,77156,0,0,1,1,2
77,77164,0,0,1,1,2
77,77169,0,1,7,10,18
77,77171,0,0,5,5,10
77,77173,0,0,0,3,3
77,77175,0,0,2,11,13
77,77176,0,2,0,0,2
77,77177,0,3,6,2,11
77,77180,0,4,1,1,6
77,77181,0,1,12,7,20
77,77182,0,3,3,0,6
77,77183,0,1,2,1,4
77,77185,0,0,5,2,7
77,77186,3,5,68,67,143
77,77191,0,1,0,0,1
77,77192,1,2,0,0,3
77,77193,0,1,1,0,2
77,77194,0,1,0,1,2
77,77196,0,0,0,1,1
77,77199,0,1,0,1,2
77,77203,0,1,2,1,4
77,77206,0,1,2,0,3
77,77209,0,2,3,8,13
77,77210,0,1,1,4,6
77,77211,0,1,1,0,2
77,77215,0,2,5,2,9
77,77216,0,0,0,6,7
77,77217,0,1,5,1,7
77,77219,1,1,2,0,4
77,77221,0,0,1,1,2
77,77222,0,0,1,1,2
77,77224,0,1,1,0,2
77,77226,0,0,1,1,2
77,77229,0,3,3,1,7
77,77231,0,2,1,0,3
77,77234,0,0,1,2,3
77,77237,1,1,15,17,35
77,77238,0,1,1,0,2
77,77239,0,0,3,6,9
77,77243,0,1,26,27,54
77,77244,0,1,0,0,1
77,77248,0,2,0,1,3
77,77249,0,1,10,12,23
77,77251,0,4,25,24,53
77,77254,0,1,1,0,2
77,77255,0,1,0,0,1
77,77257,0,0,1,1,2
77,77258,0,1,10,8,19
77,77264,0,1,3,1,5
77,77268,1,0,3,2,6
77,77269,0,2,3,3,8
77,77272,0,1,0,0,1
77,77273,0,2,5,4,11
77,77274,0,1,3,1,5
77,77276,0,1,1,1,3
77,77277,0,1,1,1,3
77,77278,0,2,4,2,8
77,77279,0,2,1,1,4
77,77281,0,0,1,4,5
77,77283,0,1,2,1,4
77,77284,4,1,5,3,13
77,77285,0,1,5,3,9
77,77288,0,1,2,1,4
77,77291,0,0,4,12,16
77,77294,1,6,53,36,96
77,77295,0,1,2,1,4
77,77296,1,4,5,9,19
77,77305,0,3,4,5,12
77,77306,1,0,0,0,1
77,77307,0,2,25,25,52
77,77309,0,1,1,2,4
77,77312,0,0,2,3,5
77,77315,0,0,4,3,7
77,77316,1,1,1,0,3
77,77318,2,3,3,1,9
77,77320,1,0,4,2,7
77,77325,0,0,1,1,2
77,77326,0,0,1,1,2
77,77327,0,2,2,3,7
77,77329,1,1,0,3,5
77,77333,0,6,14,18,38
77,77336,0,1,0,0,1
77,77337,0,5,14,9,28
77,77339,0,1,1,1,3
77,77347,0,2,1,0,3
77,77349,0,1,0,0,1
77,77350,1,1,3,1,6
77,77352,0,1,0,1,2
77,77354,0,0,0,2,2
77,77355,0,0,2,2,4
77,77359,0,2,4,3,9
77,77360,0,6,1,2,9
77,77363,0,1,17,22,40
77,77364,0,1,0,0,1
77,77370,0,1,2,0,3
77,77371,0,1,1,6,8
77,77372,0,1,6,6,13
77,77373,4,12,33,32,81
77,77374,0,3,3,1,7
77,77377,0,1,2,1,4
77,77379,0,0,1,1,2
77,77381,0,5,0,3,9
77,77382,0,4,6,3,13
77,77384,2,2,5,16,25
77,77390,2,1,3,2,8
77,77392,0,1,1,0,2
77,77398,0,0,0,1,1
77,77400,0,0,1,1,2
77,77401,0,1,2,1,4
77,77405,1,0,0,0,1
77,77407,0,0,2,3,5
77,77413,0,1,2,1,4
77,77415,2,4,10,1,17
77,77416,0,1,1,0,2
77,77420,0,0,3,4,7
77,77430,0,0,1,2,3
77,77431,0,4,3,5,12
77,77435,0,1,0,0,1
77,77436,0,0,1,1,2
77,77437,0,1,2,1,4
77,77438,0,1,12,19,32
77,77442,0,1,4,3,8
77,77445,0,5,9,5,19
77,77447,1,2,0,0,3
77,77449,1,4,24,15,44
77,77450,2,1,4,2,9
77,77451,1,1,0,0,2
77,77453,0,3,2,0,5
77,77458,1,4,2,10,17
77,77459,1,0,0,0,1
77,77460,0,1,0,2,3
77,77464,0,1,6,4,12
77,77468,1,1,9,6,17
77,77470,0,1,1,0,2
77,77474,0,0,4,3,7
77,77476,0,2,1,2,5
77,77478,0,2,0,0,2
77,77479,1,0,1,0,2
77,77486,0,1,2,0,3
77,77487,0,3,2,1,6
77,77490,0,1,1,0,2
77,77494,0,1,0,1,2
77,77495,0,6,17,17,40
77,77500,0,1,2,1,4
77,77501,0,1,0,2,3
77,77505,1,0,3,2,6
77,77508,1,2,5,3,11
77,77509,0,1,0,0,1
77,77510,0,2,1,1,4
77,77514,1,0,6,11,18
77,77515,0,0,1,1,2
77,77517,0,0,2,3,5
77,77521,0,0,0,2,2
77,77522,0,0,0,2,2
77,77533,0,0,1,1,2
78,78003,2,2,4,1,9
78,78005,0,0,4,4,8
78,78007,0,1,11,14,26
78,78009,2,2,3,2,9
78,78010,0,1,1,3,5
78,78015,1,1,1,2,5
78,78020,1,1,2,0,4
78,78029,0,1,14,21,36
78,78030,0,2,2,0,4
78,78033,0,0,1,1,2
78,78043,0,3,24,25,52
78,78062,1,5,3,1,10
78,78068,0,0,1,5,6
78,78073,0,1,8,11,20
78,78087,0,1,0,1,2
78,78090,0,0,18,16,34
78,78104,0,0,1,1,2
78,78107,1,0,0,0,1
78,78108,1,0,1,0,2
78,78117,0,1,11,6,18
78,78118,0,2,3,5,10
78,78123,0,0,6,6,12
78,78124,0,0,1,3,4
78,78126,0,1,14,8,23
78,78128,1,0,1,2,4
78,78133,0,1,26,25,52
78,78138,0,0,4,5,9
78,78140,0,0,14,18,32
78,78143,0,2,2,0,4
78,78146,0,2,6,4,12
78,78147,0,0,1,1,2
78,78152,0,1,0,1,2
78,78158,0,2,17,20,39
78,78160,0,1,0,0,1
78,78164,0,1,0,0,1
78,78165,0,1,2,0,3
78,78168,2,0,1,0,3
78,78172,0,3,3,8,14
78,78190,0,0,2,3,5
78,78192,0,1,1,0,2
78,78193,0,1,1,1,3
78,78206,0,3,11,6,20
78,78208,0,1,2,1,4
78,78209,0,1,0,0,1
78,78217,0,1,9,6,16
78,78220,1,1,1,0,3
78,78224,0,1,1,0,2
78,78227,0,0,2,2,4
78,78231,0,2,0,0,2
78,78233,0,3,4,2,9
78,78238,1,0,13,27,41
78,78242,0,0,3,7,10
78,78255,0,0,3,2,5
78,78265,0,1,1,0,2
78,78267,0,1,1,0,2
78,78276,0,1,2,0,3
78,78291,2,3,18,16,39
78,78297,1,3,11,6,21
78,78299,0,1,3,2,6
78,78311,1,1,4,3,10
78,78320,0,2,4,0,6
78,78321,1,3,5,3,12
78,78322,0,0,3,4,7
78,78325,1,0,1,0,2
78,78327,1,0,1,0,2
78,78329,0,1,4,0,5
78,78335,0,2,3,1,6
78,78337,0,0,1,1,2
78,78344,0,3,0,0,3
78,78346,0,1,1,0,2
78,78349,0,0,14,4,18
78,78354,0,2,2,0,4
78,78356,0,1,0,0,1
78,78358,0,1,2,2,5
78,78361,0,2,6,1,9
78,78362,2,5,28,11,46
78,78366,2,0,1,2,5
78,78368,0,0,0,2,2
78,78372,0,0,5,4,10
78,78381,0,1,0,0,1
78,78382,0,0,2,3,5
78,78384,0,0,1,1,2
78,78396,0,1,7,5,13
78,78397,1,0,0,0,1
78,78401,0,0,13,15,28
78,78402,1,2,6,25,34
78,78403,1,0,1,1,3
78,78410,1,0,0,0,1
78,78418,0,1,8,9,18
78,78420,0,1,1,0,2
78,78423,3,2,26,25,56
78,78431,1,0,18,11,30
78,78440,0,5,45,42,92
78,78443,0,0,0,2,2
78,78444,2,1,0,2,5
78,78455,0,1,16,17,35
78,78466,0,3,24,26,53
78,78481,0,0,3,4,7
78,78484,0,0,1,1,2
78,78490,0,3,10,17,30
78,78498,0,5,32,39,78
78,78499,0,1,3,0,4
78,78502,1,0,4,3,8
78,78506,0,3,6,3,12
78,78513,0,2,1,1,4
78,78516,0,1,0,0,1
78,78517,1,2,4,2,9
78,78520,1,0,1,0,2
78,78522,0,1,1,0,2
78,78531,0,3,0,0,3
78,78537,0,3,3,2,8
78,78545,0,0,5,8,13
78,78548,0,1,1,0,2
78,78551,2,8,44,60,114
78,78564,0,0,1,1,2
78,78571,0,1,15,6,22
78,78575,0,2,2,1,5
78,78576,0,1,1,0,2
78,78586,0,3,7,5,15
78,78590,0,1,0,0,1
78,78601,0,2,0,4,6
78,78605,1,0,0,0,1
78,78609,0,1,2,1,4
78,78618,0,1,0,0,1
78,78620,0,1,1,0,2
78,78621,0,0,1,1,2
78,78624,1,1,7,8,17
78,78640,0,7,68,49,124
78,78642,0,0,1,1,2
78,78643,0,0,4,8,12
78,78646,2,0,13,10,25
78,78650,0,1,7,3,11
78,78655,0,1,0,1,2
78,78668,1,0,0,1,2
78,78672,1,1,8,4,14
78,78674,0,3,1,0,4
78,78683,0,1,1,3,5
78,78688,1,0,1,0,2
91,91016,0,1,1,1,3
91,91021,0,2,7,9,18
91,91027,1,6,60,58,125
91,91041,1,2,5,1,9
91,91044,0,1,1,0,2
91,91045,0,2,1,1,4
91,91047,0,1,0,1,2
91,91064,0,1,32,36,69
91,91069,1,0,0,3,4
91,91085,1,0,0,2,3
91,91086,0,0,18,18,36
91,91095,0,1,0,2,3
91,91097,0,6,7,11,24
91,91098,1,0,1,0,2
91,91100,0,0,1,2,3
91,91103,2,1,16,21,40
91,91105,0,1,3,2,6
91,91109,0,1,1,1,3
91,91111,1,0,3,0,4
91,91114,0,5,19,26,50
91,91115,0,1,1,0,2
91,91122,0,1,0,2,3
91,91129,0,1,0,1,2
91,91130,1,0,0,3,4
91,91132,0,0,1,1,2
91,91135,0,1,1,0,2
91,91136,1,2,20,21,44
91,91161,0,2,79,69,150
91,91174,0,5,71,81,158
91,91175,1,0,0,0,1
91,91179,0,2,15,17,34
91,91180,0,1,1,3,5
91,91184,1,0,0,1,2
91,91191,0,0,7,10,17
91,91201,0,7,40,38,85
91,91207,0,0,7,2,9
91,91215,1,0,2,7,10
91,91216,0,2,19,12,33
91,91223,0,7,32,44,83
91,91225,0,2,7,4,13
91,91226,1,0,1,0,2
91,91228,1,7,53,50,111
91,91235,1,3,19,19,42
91,91243,0,0,1,1,2
91,91248,0,2,0,2,4
91,91249,0,3,2,2,7
91,91272,0,0,1,2,3
91,91286,1,1,39,30,71
91,91292,0,1,2,2,5
91,91294,0,1,0,2,3
91,91312,0,1,16,15,32
91,91315,0,1,1,3,5
91,91318,1,1,1,0,3
91,91326,0,1,21,22,44
91,91338,2,4,3,2,11
91,91339,0,2,17,12,31
91,91340,3,4,22,19,48
91,91345,1,6,38,37,82
91,91347,0,1,11,12,24
91,91363,2,1,11,17,31
91,91377,1,4,39,45,89
91,91386,1,0,4,3,8
91,91399,0,0,1,1,2
91,91405,1,1,0,1,3
91,91411,0,2,3,1,6
91,91421,0,4,48,47,99
91,91425,2,0,17,18,37
91,91432,0,2,21,19,42
91,91433,0,0,5,11,16
91,91434,0,1,26,25,52
91,91435,0,0,0,1,1
91,91441,0,0,0,1,1
91,91457,0,2,5,1,8
91,91461,0,2,2,2,6
91,91468,0,0,5,5,10
91,91469,0,0,0,1,1
91,91471,0,1,12,13,26
91,91477,0,5,15,14,34
91,91479,0,5,17,15,37
91,91494,0,2,2,0,4
91,91511,0,0,2,2,4
91,91514,1,1,19,26,47
91,91521,1,3,42,47,93
91,91533,0,1,0,0,1
91,91534,0,3,10,17,30
91,91538,0,0,0,2,2
91,91549,1,5,32,22,60
91,91552,0,2,5,13,20
91,91553,0,1,18,12,31
91,91560,0,0,2,4,6
91,91568,0,1,0,1,2
91,91570,0,5,16,12,33
91,91573,0,0,2,9,11
91,91577,0,1,2,1,4
91,91579,0,2,0,0,2
91,91587,0,1,1,0,2
91,91589,1,5,60,63,129
91,91613,0,1,0,0,1
91,91617,0,1,16,23,40
91,91630,1,0,0,0,1
91,91631,0,0,3,2,5
91,91634,1,0,0,0,1
91,91645,0,0,11,13,24
91,91649,0,1,0,0,1
91,91657,0,5,28,30,63
91,91659,0,1,6,14,21
91,91661,0,1,9,16,26
91,91665,0,3,4,2,9
91,91666,0,1,2,0,3
91,91667,0,0,3,2,5
91,91685,0,1,0,1,2
91,91687,1,8,42,42,93
91,91689,1,5,91,104,201
91,91691,1,1,15,16,33
91,91692,1,4,24,25,54
92,92002,0,5,147,139,291
92,92004,0,4,106,109,219
92,92007,0,7,61,55,123
92,92009,0,1,21,23,45
92,92012,1,13,128,154,297
92,92014,0,2,22,23,47
92,92019,0,3,40,34,77
92,92020,0,3,54,54,111
92,92022,1,2,8,11,22
92,92023,2,9,68,53,132
92,92024,0,7,130,122,259
92,92025,1,18,175,170,364
92,92026,1,5,115,125,246
92,92032,0,0,5,7,12
92,92033,0,1,9,14,24
92,92035,0,0,39,52,91
92,92036,5,14,226,232,477
92,92040,2,7,79,88,177
92,92044,0,2,61,74,137
92,92046,0,7,44,55,106
92,92047,0,0,64,43,107
92,92048,0,12,65,62,139
92,92049,0,8,84,92,184
92,92050,0,11,205,201,418
92,92051,0,11,102,100,214
92,92060,0,3,12,15,30
92,92062,0,5,76,77,158
92,92063,3,11,78,80,172
92,92064,0,10,111,115,236
92,92071,0,1,10,12,23
92,92072,0,1,49,70,121
92,92073,0,5,42,50,97
92,92075,0,3,21,19,43
92,92076,1,2,13,15,31
92,92077,0,1,9,13,23
92,92078,1,7,80,75,163
93,93001,0,20,139,131,291
93,93005,3,12,226,243,489
93,93006,0,7,71,68,146
93,93007,1,14,142,125,282
93,93008,2,16,104,113,237
93,93010,1,20,152,123,297
93,93013,0,5,38,31,74
93,93014,0,2,27,28,58
93,93015,0,0,1,2,3
93,93027,2,20,154,167,343
93,93029,1,12,90,81,184
93,93030,0,1,15,17,33
93,93031,0,13,64,59,136
93,93032,0,3,39,41,83
93,93033,0,1,20,10,31
93,93039,0,1,11,14,26
93,93045,0,1,20,18,39
93,93046,0,5,59,64,129
93,93047,1,4,40,35,82
93,93048,0,20,167,167,362
93,93049,0,0,26,28,55
93,93050,0,9,65,56,132
93,93051,0,13,117,101,231
93,93053,1,20,121,119,262
93,93055,1,16,69,62,150
93,93057,2,3,39,34,79
93,93059,0,3,21,21,45
93,93061,0,0,3,3,6
93,93062,0,1,31,31,65
93,93063,0,4,61,47,113
93,93064,0,10,153,147,314
93,93066,4,30,308,317,664
93,93070,2,8,89,74,174
93,93071,2,7,59,51,120
93,93072,0,13,53,52,119
93,93073,1,7,70,90,168
93,93074,0,3,22,23,48
93,93077,0,8,46,61,116
93,93078,2,11,88,109,211
93,93079,0,2,17,16,35
94,94001,0,0,10,6,16
94,94002,0,4,40,41,85
94,94003,0,4,52,55,111
94,94004,0,6,27,41,74
94,94011,1,4,42,44,91
94,94015,0,1,23,20,44
94,94016,0,7,30,19,56
94,94017,0,21,209,177,408
94,94018,0,8,78,77,163
94,94019,0,5,23,23,51
94,94021,1,5,73,68,147
94,94022,1,7,102,86,196
94,94028,3,9,169,164,346
94,94033,1,5,67,75,148
94,94034,0,2,121,101,224
94,94037,0,2,16,18,36
94,94038,0,7,55,65,127
94,94041,2,10,101,89,202
94,94042,0,1,57,63,121
94,94043,1,3,72,61,137
94,94044,0,2,28,61,91
94,94046,2,8,102,112,224
94,94047,0,0,3,5,8
94,94048,0,0,8,5,13
94,94052,0,4,41,43,88
94,94053,0,0,2,3,5
94,94054,0,5,23,25,53
94,94055,0,2,16,13,31
94,94056,0,0,2,2,4
94,94058,0,2,33,34,69
94,94059,0,3,22,14,39
94,94060,0,1,10,7,18
94,94065,1,4,47,47,99
94,94067,0,1,25,24,51
94,94068,2,9,117,126,254
94,94069,1,5,81,71,158
94,94070,0,0,5,11,16
94,94071,0,4,30,44,78
94,94073,0,4,102,94,200
94,94074,0,3,41,37,81
94,94075,1,3,26,29,59
94,94076,1,13,107,108,229
94,94077,0,9,19,20,51
94,94078,2,6,70,66,144
94,94079,0,3,38,44,85
94,94080,0,2,32,29,63
94,94081,1,16,141,136,295
95,95008,0,1,2,6,9
95,95014,0,0,3,3,6
95,95018,2,10,49,58,119
95,95019,0,1,11,14,26
95,95026,0,1,0,0,1
95,95028,0,1,8,9,18
95,95039,1,1,0,0,2
95,95042,0,2,7,16,25
95,95051,0,0,1,1,2
95,95052,0,2,3,2,7
95,95056,0,0,1,1,2
95,95058,0,0,3,7,10
95,95060,0,1,3,4,8
95,95061,0,0,1,3,4
95,95063,1,0,7,4,12
95,95088,0,0,1,2,3
95,95101,0,0,1,5,6
95,95116,1,2,2,7,12
95,95120,0,0,1,1,2
95,95127,1,9,26,18,54
95,95134,1,0,8,8,17
95,95142,2,0,1,1,4
95,95149,0,2,2,1,5
95,95151,0,1,0,1,2
95,95154,0,0,4,8,12
95,95169,2,0,0,0,2
95,95170,0,1,2,0,3
95,95176,0,0,0,3,3
95,95177,0,2,0,0,2
95,95183,0,3,1,0,4
95,95197,0,2,13,11,26
95,95199,0,2,7,1,10
95,95203,0,1,4,3,8
95,95205,0,0,4,2,6
95,95210,1,2,17,13,33
95,95212,1,1,4,15,21
95,95213,0,1,0,0,1
95,95218,1,2,7,13,23
95,95219,0,0,4,4,8
95,95229,0,0,3,3,6
95,95241,2,3,13,21,39
95,95250,0,1,5,4,10
95,95252,0,6,22,40,68
95,95256,0,1,6,6,13
95,95268,1,5,27,27,60
95,95277,1,10,53,77,141
95,95280,1,1,34,43,80
95,95288,0,0,2,4,6
95,95295,0,0,1,1,2
95,95298,0,2,2,3,7
95,95303,0,1,1,0,2
95,95306,0,4,27,18,49
95,95313,1,5,3,3,12
95,95323,0,2,4,3,9
95,95351,1,3,12,30,46
95,95352,0,2,2,5,9
95,95353,2,2,3,5,12
95,95355,0,1,1,0,2
95,95365,0,0,4,5,9
95,95370,0,2,2,0,4
95,95371,1,3,3,5,12
95,95388,0,1,1,0,2
95,95392,0,1,2,2,5
95,95394,0,3,11,8,22
95,95395,0,0,0,2,2
95,95409,0,1,2,3,6
95,95424,0,2,20,25,47
95,95427,0,2,20,24,46
95,95428,0,1,19,12,32
95,95436,0,1,2,3,6
95,95445,0,1,6,1,8
95,95446,0,1,2,2,5
95,95452,0,1,0,3,4
95,95459,0,1,1,0,2
95,95476,1,2,3,0,6
95,95487,0,3,10,15,28
95,95488,0,4,17,21,42
95,95489,0,1,1,1,3
95,95491,0,1,4,6,11
95,95500,0,2,13,11,26
95,95504,0,1,5,1,7
95,95523,0,0,0,1,1
95,95527,0,2,24,38,64
95,95535,0,2,0,0,2
95,95539,0,1,10,9,20
95,95554,0,1,0,0,1
95,95555,0,2,18,14,34
95,95563,0,0,2,10,12
95,95566,0,1,1,0,2
95,95572,1,2,37,49,89
95,95574,1,0,0,0,1
95,95580,0,1,14,10,25
95,95582,1,2,62,97,162
95,95585,0,2,18,20,41
95,95598,1,2,16,16,35
95,95604,0,4,9,14,27
95,95607,0,1,8,11,20
95,95610,0,2,4,3,9
95,95612,1,2,4,8,15
95,95637,0,0,1,1,2
95,95641,2,0,6,14,23
95,95652,0,2,4,2,8
95,95658,0,0,1,1,2
95,95660,0,0,1,1,2
95,95675,0,0,1,2,3
95,95678,0,2,16,9,27
95,95680,0,5,17,29,51
95,95682,0,0,3,6,9
95,95690,0,0,0,1,1
